=== Annotation Statistics ===

Training Set:
Total categories: 1625
Total annotations: 623359
Warning: Found 4 invalid category IDs: [3105, 3107, 3108, 3109]

Top categories by annotation count:
ID     Name                           Count      Percentage
------------------------------------------------------------
2978   wall                           35928        5.76%
3050   window                         33581        5.39%
1831   person, individual, someone, somebody, mortal, soul 27673        4.44%
2855   tree                           24897        3.99%
312    building, edifice              19375        3.11%
471    chair                          15353        2.46%
774    door                           15126        2.43%
401    car, auto, automobile, machine, motorcar 14864        2.38%
1910   plant, flora, plant life       12848        2.06%
976    floor, flooring                11749        1.88%
2420   sky                            11430        1.83%
1451   light, light source            10913        1.75%
3055   windowpane, window             10013        1.61%
1735   painting, picture              9657         1.55%
447    ceiling                        9031         1.45%
2684   table                          8890         1.43%
350    cabinet                        8323         1.34%
1433   leg                            6496         1.04%
1395   lamp                           6462         1.04%
1180   handle                         6261         1.00%
2380   signboard, sign                5912         0.95%
689    cushion                        5634         0.90%
236    book                           5598         0.90%
2131   road, route                    5380         0.86%
2377   sidewalk, pavement             5363         0.86%
1448   light source                   5255         0.84%
789    drawer                         5088         0.82%
687    curtain, drape, drapery, mantle, pall 4868         0.78%
2311   shade                          4671         0.75%
266    box                            4468         0.72%
1125   grass                          4283         0.69%
1380   knob                           4261         0.68%
1610   mountain, mount                4138         0.66%
838    earth, ground                  4006         0.64%
1746   pane                           3902         0.63%
249    bottle                         3759         0.60%
3035   wheel                          3589         0.58%
54     arm                            3522         0.57%
2329   shelf                          3377         0.54%
2138   rock, stone                    3296         0.53%
2272   seat                           3077         0.49%
1981   pot, flowerpot                 2932         0.47%
1238   highlight                      2832         0.45%
83     back                           2830         0.45%
580    column                         2743         0.44%
2509   spotlight, spot                2738         0.44%
57     armchair                       2714         0.44%
978    flower                         2630         0.42%
1564   mirror                         2619         0.42%
907    fence, fencing                 2603         0.42%
165    bed                            2550         0.41%
2932   vase                           2417         0.39%
1206   head                           2338         0.38%
581    column, pillar                 2193         0.35%
1869   pillow                         2168         0.35%
2276   seat cushion                   2120         0.34%
1098   glass, drinking glass          2097         0.34%
2473   sofa, couch, lounge            2094         0.34%
1919   plate                          2083         0.33%
1936   pole                           2059         0.33%
2243   sconce                         1952         0.31%
2982   wall socket, wall plug, electric outlet, electrical outlet, outlet, electric receptacle 1838         0.29%
136    base                           1777         0.29%
2178   rug, carpet, carpeting         1710         0.27%
2122   rim                            1708         0.27%
86     back pillow                    1682         0.27%
2117   right arm                      1620         0.26%
2053   railing, rail                  1565         0.25%
101    balcony                        1548         0.25%
1428   left arm                       1541         0.25%
884    eye                            1529         0.25%
259    bowl                           1527         0.24%
2388   sink                           1497         0.24%
181    bench                          1449         0.23%
1431   left leg                       1417         0.23%
1276   house                          1401         0.22%
2120   right leg                      1392         0.22%
1744   palm, palm tree                1371         0.22%
3087   work surface                   1356         0.22%
2051   rail                           1305         0.21%
724    desk                           1292         0.21%
2814   top                            1286         0.21%
2264   sea                            1266         0.20%
95     bag                            1264         0.20%
1213   headlight                      1256         0.20%
2530   stairs, steps                  1240         0.20%
146    basket, handbasket             1216         0.20%
1439   license plate                  1216         0.20%
895    faucet                         1199         0.19%
1974   pot                            1165         0.19%
2700   taillight                      1161         0.19%
2578   stile                          1139         0.18%
571    coffee table, cocktail table   1137         0.18%
2368   shrub, bush                    1114         0.18%
2586   stool                          1103         0.18%
2821   towel                          1097         0.18%
1212   headboard                      1080         0.17%
982    fluorescent, fluorescent fixture 1063         0.17%
1349   jar                            1055         0.17%
1930   plaything, toy                 1047         0.17%
2836   traffic light, traffic signal, stoplight 1040         0.17%
1625   muntin                         1033         0.17%
1329   inside arm                     1024         0.16%
77     awning, sunshade, sunblind     1023         0.16%
530    clock                          1005         0.16%
2679   swivel chair                   994          0.16%
2423   skyscraper                     986          0.16%
64     ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin 946          0.15%
223    boat                           933          0.15%
954    flag                           932          0.15%
2370   shutter                        915          0.15%
2994   water                          910          0.15%
378    candlestick, candle holder     907          0.15%
1615   mouth                          895          0.14%
1788   path                           895          0.14%
913    field                          883          0.14%
42     apron                          880          0.14%
1756   paper                          874          0.14%
2119   right hand                     870          0.14%
3057   windshield                     869          0.14%
2155   roof                           859          0.14%
480    chandelier, pendant, pendent   849          0.14%
1024   frame                          848          0.14%
103    ball                           845          0.14%
783    double door                    832          0.13%
918    figurine, statuette            811          0.13%
120    bannister, banister, balustrade, balusters, handrail 809          0.13%
2733   television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box 803          0.13%
2928   van                            799          0.13%
2676   switch, electric switch, electrical switch 793          0.13%
137    base, pedestal, stand          784          0.13%
1033   fruit                          773          0.12%
2531   stairway, staircase            767          0.12%
1969   poster, posting, placard, notice, bill, card 763          0.12%
212    blind, screen                  758          0.12%
